Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_4096-num_aie_columns_1-num_channels_1-tile_size_4096-group_size_32,5/5,159.0,168.6,126.0,190.3,30.63682424795364,0.068140474,0.06225349,0.05516313,0.08332804,0.013778114305191769,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_4096-num_aie_columns_1-num_channels_2-tile_size_2048-group_size_32,5/5,163.18,164.4,109.8,226.1,42.91563817537845,0.068050836,0.06382759,0.04642995,0.09561898,0.018287317119325627,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_4096-num_aie_columns_2-num_channels_1-tile_size_2048-group_size_32,5/5,176.44,189.4,122.9,207.9,32.56736096155168,0.061523826000000004,0.05542296,0.05049407,0.08541458,0.01388058494905312,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_4096-num_aie_columns_2-num_channels_2-tile_size_1024-group_size_32,5/5,165.56,168.8,129.7,208.9,34.08581816533088,0.065618272,0.06216868,0.05023259,0.08094581,0.013594570345243355,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_4096-num_aie_columns_4-num_channels_1-tile_size_1024-group_size_32,5/5,166.82,156.2,134.4,199.9,29.086973029175795,0.064450248,0.0672058,0.05251676,0.07808013,0.01102720903169383,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_4096-num_aie_columns_4-num_channels_2-tile_size_512-group_size_32,5/5,182.82,179.5,114.9,284.0,62.499495997967855,0.06251049,0.0584794,0.03695371,0.0913339,0.019652540060527798,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_4096-num_aie_columns_8-num_channels_1-tile_size_512-group_size_32,5/5,173.32,159.3,142.7,239.5,39.60444419506477,0.062736536,0.06588702,0.04382171,0.0735627,0.012061738537181529,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_4096-num_aie_columns_8-num_channels_2-tile_size_256-group_size_32,5/5,194.1,187.6,168.6,251.3,33.30442913487635,0.055178816,0.05594972,0.04177047,0.06223872,0.008088122726617717,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_8192-num_aie_columns_1-num_channels_1-tile_size_8192-group_size_32,5/5,176.98,182.5,147.5,205.0,23.461180703451394,0.12033998,0.1150265,0.10241,0.1422791,0.016395418238855628,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/dequant/test.py::test_dequant,input_length_8192-num_aie_columns_1-num_channels_2-tile_size_4096-group_size_32,5/5,178.18,180.4,136.9,211.9,27.12686859923202,0.12024318,0.1163933,0.0990829,0.1533046,0.020142026120949206,,,,,
